Nat,Pokemon,Form,Species,HP,Atk,Def,SpA,SpD,Spe,Type I,Type II,Ability I,Ability II,Hidden Ability,Catch Rate,Mass (kg),Height (m),Base Egg Steps,Gender (%M,EXP to 100,Growth,Gen,Evolves from,Evolution chain id,Color id,Shape id,Habitat id (FRLG versions),Base Happiness
15,Beedrill,Mega,Poison Bee,65,150,40,15,80,145,Bug,Poison,Adaptability,,,45,40.5,1.4,3855,50,1000000,MF,1,14,5,10,13,2,70
16,Pidgey,,Tiny Bird,40,45,40,35,35,56,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,255,1.8,0.3,3855,50,1059860,MS,1,0,6,3,9,2,70
17,Pidgeotto,,Bird,63,60,55,50,50,71,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,120,30,1.1,3855,50,1059860,MS,1,16,6,3,9,2,70
18,Pidgeot,,Bird,83,80,75,70,70,101,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,45,39.5,1.5,3855,50,1059860,MS,1,17,6,3,9,2,70
18,Pidgeot,Mega,Bird,83,80,80,135,80,121,Normal,Flying,No Guard,,,45,50.5,2.2,3855,50,1059860,MS,1,17,6,3,9,2,70
19,Rattata,,Mouse,30,56,35,25,35,72,Normal,,Run Away,Guts,Hustle,255,3.5,0.3,3855,50,1000000,MF,1,0,7,7,8,3,70
20,Raticate,,Mouse,55,81,60,50,70,97,Normal,,Run Away,Guts,Hustle,127,18.5,0.7,3855,50,1000000,MF,1,19,7,3,8,3,70
21,Spearow,,Tiny Bird,40,60,30,31,31,70,Normal,Flying,Keen Eye,,Sniper,255,2,0.3,3855,50,1000000,MF,1,0,8,3,9,6,70
22,Fearow,,Beak,65,90,65,61,61,100,Normal,Flying,Keen Eye,,Sniper,90,38,1.2,3855,50,1000000,MF,1,21,8,3,9,6,70
23,Ekans,,Snake,30,60,44,40,54,55,Poison,,Intimidate,Shed Skin,Unnerve,255,6.9,2,5140,50,1000000,MF,1,0,9,7,2,3,70
24,Arbok,,Cobra,60,85,69,65,79,80,Poison,,Intimidate,Shed Skin,Unnerve,90,65,3.5,5140,50,1000000,MF,1,23,9,7,2,3,70
25,Pikachu,,Mouse,35,55,40,50,50,90,Electric,,Static,,Lightning Rod,190,6,0.4,5140,50,1000000,MF,1,172,10,10,8,2,70
26,Raichu,,Mouse,60,90,55,90,80,110,Electric,,Static,,Lightning Rod,75,30,0.8,5140,50,1000000,MF,1,25,10,10,6,2,70
27,Sandshrew,,Mouse,50,75,85,20,30,40,Ground,,Sand Veil,,Sand Rush,255,12,0.6,5140,50,1000000,MF,1,0,11,10,6,6,70
28,Sandslash,,Mouse,75,100,110,45,55,65,Ground,,Sand Veil,,Sand Rush,90,29.5,1,5140,50,1000000,MF,1,27,11,10,6,6,70
29,Nidoran (M),,Poison Pin,55,47,52,40,40,41,Poison,,Poison Point,Rivalry,Hustle,235,7,0.4,5140,0,1059860,MS,1,0,12,2,8,3,70
30,Nidorina,,Poison Pin,70,62,67,55,55,56,Poison,,Poison Point,Rivalry,Hustle,120,20,0.8,5140,0,1059860,MS,1,29,12,2,8,3,70
31,Nidoqueen,,Drill,90,92,87,75,85,76,Poison,Ground,Poison Point,Rivalry,Sheer Force,45,60,1.3,5140,0,1059860,MS,1,30,12,2,6,3,70
32,Nidoran (F),,Poison Pin,46,57,40,40,40,50,Poison,,Poison Point,Rivalry,Hustle,235,9,0.5,5140,100,1059860,MS,1,0,13,7,8,3,70
33,Nidorino,,Poison Pin,61,72,57,55,55,65,Poison,,Poison Point,Rivalry,Hustle,120,19.5,0.9,5140,100,1059860,MS,1,32,13,7,8,3,70
34,Nidoking,,Drill,81,92,77,85,75,85,Poison,Ground,Poison Point,Rivalry,Sheer Force,45,62,1.4,5140,100,1059860,MS,1,33,13,7,6,3,70
35,Clefairy,,Fairy,70,45,48,60,65,35,Fairy,,Cute Charm,Magic Guard,Friend Guard,150,7.5,0.6,5140,25,800000,F,1,173,14,6,6,4,140
36,Clefable,,Fairy,95,70,73,85,90,60,Fairy,,Cute Charm,Magic Guard,Unaware,25,40,1.3,5140,25,800000,F,1,35,14,6,6,4,140
37,Vulpix,,Fox,38,41,40,50,65,65,Fire,,Flash Fire,,Drought,190,9.9,0.6,5140,25,1000000,MF,1,0,15,3,8,3,70
38,Ninetales,,Fox,73,76,75,81,100,100,Fire,,Flash Fire,,Drought,75,19.9,1.1,5140,25,1000000,MF,1,37,15,10,8,3,70
39,Jigglypuff,,Balloon,115,45,20,45,25,20,Normal,Fairy,Cute Charm,,Friend Guard,170,5.5,0.5,5140,25,800000,F,1,174,16,6,12,3,70
40,Wigglytuff,,Balloon,140,70,45,85,50,45,Normal,Fairy,Cute Charm,,Frisk,50,12,1,5140,25,800000,F,1,39,16,6,12,3,70
41,Zubat,,Bat,40,45,35,30,40,55,Poison,Flying,Inner Focus,,Infiltrator,255,7.5,0.8,3855,50,1000000,MF,1,0,17,7,9,1,70
42,Golbat,,Bat,75,80,70,65,75,90,Poison,Flying,Inner Focus,,Infiltrator,90,55,1.6,3855,50,1000000,MF,1,41,17,7,9,1,70
43,Oddish,,Weed,45,50,55,75,65,30,Grass,Poison,Chlorophyll,,Run Away,255,5.4,0.5,5140,50,1059860,MS,1,0,18,2,7,3,70
44,Gloom,,Weed,60,65,70,85,75,40,Grass,Poison,Chlorophyll,,Stench,120,8.6,0.8,5140,50,1059860,MS,1,43,18,2,12,3,70
45,Vileplume,,Flower,75,80,85,110,90,50,Grass,Poison,Chlorophyll,,Effect Spore,45,18.6,1.2,5140,50,1059860,MS,1,44,18,8,12,3,70
46,Paras,,Mushroom,35,70,55,45,55,25,Bug,Grass,Effect Spore,Dry Skin,Damp,190,5.4,0.3,5140,50,1000000,MF,1,0,19,8,14,2,70
47,Parasect,,Mushroom,60,95,80,60,80,30,Bug,Grass,Effect Spore,Dry Skin,Damp,75,29.5,1,5140,50,1000000,MF,1,46,19,8,14,2,70
48,Venonat,,Insect,60,55,50,40,55,45,Bug,Poison,Compound Eyes,Tinted Lens,Run Away,190,30,1,5140,50,1000000,MF,1,0,20,7,12,2,70
49,Venomoth,,Poison Moth,70,65,60,90,75,90,Bug,Poison,Shield Dust,Tinted Lens,Wonder Skin,75,12.5,1.5,5140,50,1000000,MF,1,48,20,7,13,2,70
50,Diglett,,Mole,10,55,25,35,45,95,Ground,,Sand Veil,Arena Trap,Sand Force,255,0.8,0.2,5140,50,1000000,MF,1,0,21,3,5,1,70
51,Dugtrio,,Mole,35,80,50,50,70,120,Ground,,Sand Veil,Arena Trap,Sand Force,50,33.3,0.7,5140,50,1000000,MF,1,50,21,3,11,1,70
52,Meowth,,Scratch Cat,40,45,35,40,40,90,Normal,,Pickup,Technician,Unnerve,255,4.2,0.4,5140,50,1000000,MF,1,0,22,10,8,8,70
53,Persian,,Classy Cat,65,70,60,65,65,115,Normal,,Limber,Technician,Unnerve,90,32,1,5140,50,1000000,MF,1,52,22,10,8,8,70
54,Psyduck,,Duck,50,52,48,65,50,55,Water,,Damp,Cloud Nine,Swift Swim,190,19.6,0.8,5140,50,1000000,MF,1,0,23,10,6,9,70
55,Golduck,,Duck,80,82,78,95,80,85,Water,,Damp,Cloud Nine,Swift Swim,75,76.6,1.7,5140,50,1000000,MF,1,54,23,2,6,9,70
56,Mankey,,Pig Monkey,40,80,35,35,45,70,Fighting,,Vital Spirit,Anger Point,Defiant,190,28,0.5,5140,50,1000000,MF,1,0,24,3,6,4,70
57,Primeape,,Pig Monkey,65,105,60,60,70,95,Fighting,,Vital Spirit,Anger Point,Defiant,75,32,1,5140,50,1000000,MF,1,56,24,3,6,4,70
58,Growlithe,,Puppy,55,70,45,70,50,60,Fire,,Intimidate,Flash Fire,Justified,190,19,0.7,5140,75,1250000,S,1,0,25,3,8,3,70
59,Arcanine,,Legendary,90,110,80,100,80,95,Fire,,Intimidate,Flash Fire,Justified,75,155,1.9,5140,75,1250000,S,1,58,25,3,8,3,70
60,Poliwag,,Tadpole,40,50,40,40,40,90,Water,,Water Absorb,Damp,Swift Swim,255,12.4,0.6,5140,50,1059860,MS,1,0,26,2,7,9,70
61,Poliwhirl,,Tadpole,65,65,65,50,50,90,Water,,Water Absorb,Damp,Swift Swim,120,20,1,5140,50,1059860,MS,1,60,26,2,12,9,70
62,Poliwrath,,Tadpole,90,95,95,70,90,70,Water,Fighting,Water Absorb,Damp,Swift Swim,45,54,1.3,5140,50,1059860,MS,1,61,26,2,12,9,70
63,Abra,,Psi,25,20,15,105,55,90,Psychic,,Synchronize,Inner Focus,Magic Guard,200,19.5,0.9,5140,75,1059860,MS,1,0,27,3,6,8,70
64,Kadabra,,Psi,40,35,30,120,70,105,Psychic,,Synchronize,Inner Focus,Magic Guard,100,56.5,1.3,5140,75,1059860,MS,1,63,27,3,6,8,70
65,Alakazam,,Psi,55,50,45,135,95,120,Psychic,,Synchronize,Inner Focus,Magic Guard,50,48,1.5,5140,75,1059860,MS,1,64,27,3,12,8,70
65,Alakazam,Mega,Psi,55,50,65,175,95,150,Psychic,,Trace,,,50,48,1.2,5140,75,1059860,MS,1,64,27,3,12,8,70
66,Machop,,Superpower,70,80,50,35,35,35,Fighting,,Guts,No Guard,Steadfast,180,19.5,0.8,5140,75,1059860,MS,1,0,28,4,6,4,70
67,Machoke,,Superpower,80,100,70,50,60,45,Fighting,,Guts,No Guard,Steadfast,90,70.5,1.5,5140,75,1059860,MS,1,66,28,4,12,4,70
68,Machamp,,Superpower,90,130,80,65,85,55,Fighting,,Guts,No Guard,Steadfast,45,130,1.6,5140,75,1059860,MS,1,67,28,4,12,4,70
69,Bellsprout,,Flower,50,75,35,70,30,40,Grass,Poison,Chlorophyll,,Gluttony,255,4,0.7,5140,50,1059860,MS,1,0,29,5,12,2,70
70,Weepinbell,,Flycatcher,65,90,50,85,45,55,Grass,Poison,Chlorophyll,,Gluttony,120,6.4,1,5140,50,1059860,MS,1,69,29,5,5,2,70
71,Victreebel,,Flycatcher,80,105,65,100,70,70,Grass,Poison,Chlorophyll,,Gluttony,45,15.5,1.7,5140,50,1059860,MS,1,70,29,5,5,2,70
72,Tentacool,,Jellyfish,40,40,35,50,100,70,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,190,45.5,0.9,5140,50,1250000,S,1,0,30,2,10,7,70
73,Tentacruel,,Jellyfish,80,70,65,80,120,100,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,60,55,1.6,5140,50,1250000,S,1,72,30,2,10,7,70
74,Geodude,,Rock,40,80,100,30,30,20,Rock,Ground,Rock Head,Sturdy,Sand Veil,255,20,0.4,3855,50,1059860,MS,1,0,31,3,4,4,70
75,Graveler,,Rock,55,95,115,45,45,35,Rock,Ground,Rock Head,Sturdy,Sand Veil,120,105,1,3855,50,1059860,MS,1,74,31,3,12,4,70
76,Golem,,Megaton,80,120,130,55,65,45,Rock,Ground,Rock Head,Sturdy,Sand Veil,45,300,1.4,3855,50,1059860,MS,1,75,31,3,12,4,70
77,Ponyta,,Fire Horse,50,85,55,65,65,90,Fire,,Run Away,Flash Fire,Flame Body,190,30,1,5140,50,1000000,MF,1,0,32,10,8,3,70
78,Rapidash,,Fire Horse,65,100,70,80,80,105,Fire,,Run Away,Flash Fire,Flame Body,60,95,1.7,5140,50,1000000,MF,1,77,32,10,8,3,70
79,Slowpoke,,Dopey,90,65,65,40,40,15,Water,Psychic,Oblivious,Own Tempo,Regenerator,190,36,1.2,5140,50,1000000,MF,1,0,33,6,8,9,70
80,Slowbro,,Hermit Crab,95,75,110,100,80,30,Water,Psychic,Oblivious,Own Tempo,Regenerator,75,78.5,1.6,5140,50,1000000,MF,1,79,33,6,6,9,70
80,Slowbro,Mega,Hermit Crab,95,75,180,130,80,30,Water,Psychic,Shell Armor,,,75,120,2,5140,50,1000000,MF,1,79,33,6,6,9,70
81,Magnemite,,Magnet,25,35,70,95,55,45,Electric,Steel,Magnet Pull,Sturdy,Analytic,190,6,0.3,5140,Genderless,1000000,MF,1,0,34,4,4,6,70
82,Magneton,,Magnet,50,60,95,120,70,70,Electric,Steel,Magnet Pull,Sturdy,Analytic,60,60,1,5140,Genderless,1000000,MF,1,81,34,4,11,6,70
83,Farfetch'd,,Wild Duck,52,65,55,58,62,60,Normal,Flying,Keen Eye,Inner Focus,Defiant,45,15,0.8,5140,50,1000000,MF,1,0,35,3,9,3,70
84,Doduo,,Twin Bird,35,85,45,35,35,75,Normal,Flying,Run Away,Early Bird,Tangled Feet,190,39.2,1.4,5140,50,1000000,MF,1,0,36,3,7,3,70
85,Dodrio,,Triple Bird,60,110,70,60,60,100,Normal,Flying,Run Away,Early Bird,Tangled Feet,45,85.2,1.8,5140,50,1000000,MF,1,84,36,3,7,3,70
86,Seel,,Sea Lion,65,45,55,45,70,45,Water,,Thick Fat,Hydration,Ice Body,190,90,1.1,5140,50,1000000,MF,1,0,37,9,3,7,70
87,Dewgong,,Sea Lion,90,70,80,70,95,70,Water,Ice,Thick Fat,Hydration,Ice Body,75,120,1.7,5140,50,1000000,MF,1,86,37,9,3,7,70
88,Grimer,,Sludge,80,80,50,40,50,25,Poison,,Stench,Sticky Hold,Poison Touch,190,30,0.9,5140,50,1000000,MF,1,0,38,7,4,8,70
89,Muk,,Sludge,105,105,75,65,100,50,Poison,,Stench,Sticky Hold,Poison Touch,75,30,1.2,5140,50,1000000,MF,1,88,38,7,4,8,70
90,Shellder,,Bivalve,30,65,100,45,25,40,Water,,Shell Armor,Skill Link,Overcoat,190,4,0.3,5140,50,1250000,S,1,0,39,7,1,7,70
91,Cloyster,,Bivalve,50,90,180,85,45,70,Water,Ice,Shell Armor,Skill Link,Overcoat,60,132.5,1.5,5140,50,1250000,S,1,90,39,7,1,7,70
92,Gastly,,Gas,30,35,30,100,35,80,Ghost,Poison,Levitate,,,190,0.1,1.3,5140,50,1059860,MS,1,0,40,7,1,1,70
93,Haunter,,Gas,45,50,45,115,55,95,Ghost,Poison,Levitate,,,90,0.1,1.6,5140,50,1059860,MS,1,92,40,7,4,1,70
94,Gengar,,Shadow,60,65,60,130,75,110,Ghost,Poison,Levitate,,,45,40.5,1.5,5140,50,1059860,MS,1,93,40,7,6,1,70
94,Gengar,Mega,Shadow,60,65,80,170,95,130,Ghost,Poison,Shadow Tag,,,45,40.5,1.4,5140,50,1059860,MS,1,93,40,7,6,1,70
95,Onix,,Rock Snake,35,45,160,30,45,70,Rock,Ground,Rock Head,Sturdy,Weak Armor,45,210,8.8,6140,50,1000000,MF,1,0,41,4,2,1,70
96,Drowzee,,Hypnosis,60,48,45,43,90,42,Psychic,,Insomnia,Forewarn,Inner Focus,190,32.4,1,5140,50,1000000,MF,1,0,42,10,12,3,70
97,Hypno,,Hypnosis,85,73,70,73,115,67,Psychic,,Insomnia,Forewarn,Inner Focus,75,75.6,1.6,5140,50,1000000,MF,1,96,42,10,12,3,70
98,Krabby,,River Crab,30,105,90,25,25,50,Water,,Hyper Cutter,Shell Armor,Sheer Force,225,6.5,0.4,5140,50,1000000,MF,1,0,43,8,14,9,70
99,Kingler,,Pincer,55,130,115,50,50,75,Water,,Hyper Cutter,Shell Armor,Sheer Force,60,60,1.3,5140,50,1000000,MF,1,98,43,8,14,9,70
100,Voltorb,,Ball,40,30,50,55,55,100,Electric,,Soundproof,Static,Aftermath,190,10.4,0.5,5140,Genderless,1000000,MF,1,0,44,8,1,8,70
101,Electrode,,Ball,60,50,70,80,80,140,Electric,,Soundproof,Static,Aftermath,60,66.6,1.2,5140,Genderless,1000000,MF,1,100,44,8,1,8,70
102,Exeggcute,,Egg,60,40,80,60,45,40,Grass,Psychic,Chlorophyll,,Harvest,90,2.5,0.4,5140,50,1250000,S,1,0,45,6,11,2,70
103,Exeggutor,,Coconut,95,95,85,125,65,55,Grass,Psychic,Chlorophyll,,Harvest,45,120,2,5140,50,1250000,S,1,102,45,10,7,2,70
104,Cubone,,Lonely,50,50,95,40,50,35,Ground,,Rock Head,Lightning Rod,Battle Armor,190,6.5,0.4,5140,50,1000000,MF,1,0,46,3,6,4,70
105,Marowak,,Bone Keeper,60,80,110,50,80,45,Ground,,Rock Head,Lightning Rod,Battle Armor,75,45,1,5140,50,1000000,MF,1,104,46,3,6,4,70
106,Hitmonlee,,Kicking,50,120,53,35,110,87,Fighting,,Limber,Reckless,Unburden,45,49.8,1.5,5140,100,1000000,MF,1,236,47,3,12,8,70
107,Hitmonchan,,Punching,50,105,79,35,110,76,Fighting,,Keen Eye,Iron Fist,Inner Focus,45,50.2,1.4,5140,100,1000000,MF,1,236,47,3,12,8,70
108,Lickitung,,Licking,90,55,75,60,75,30,Normal,,Own Tempo,Oblivious,Cloud Nine,45,65.5,1.2,5140,50,1000000,MF,1,0,48,6,6,3,70
109,Koffing,,Poison Gas,40,65,95,60,45,35,Poison,,Levitate,,,190,1,0.6,5140,50,1000000,MF,1,0,49,7,1,8,70
110,Weezing,,Poison Gas,65,90,120,85,70,60,Poison,,Levitate,,,60,9.5,1.2,5140,50,1000000,MF,1,109,49,7,11,8,70
111,Rhyhorn,,Spikes,80,85,95,30,30,25,Ground,Rock,Lightning Rod,Rock Head,Reckless,120,115,1,5140,50,1250000,S,1,0,50,4,8,6,70
112,Rhydon,,Drill,105,130,120,45,45,40,Ground,Rock,Lightning Rod,Rock Head,Reckless,60,120,1.9,5140,50,1250000,S,1,111,50,4,6,6,70
113,Chansey,,Egg,250,5,5,35,105,50,Normal,,Natural Cure,Serene Grace,Healer,30,34.6,1.1,10280,0,800000,F,1,440,51,6,6,8,140
114,Tangela,,Vine,65,55,115,100,40,60,Grass,,Chlorophyll,Leaf Guard,Regenerator,45,35,1,5140,50,1000000,MF,1,0,52,2,7,3,70
115,Kangaskhan,,Parent,105,95,80,40,80,90,Normal,,Early Bird,Scrappy,Inner Focus,45,80,2.2,5140,0,1000000,MF,1,0,53,3,6,3,70
115,Kangaskhan,Mega,Parent,105,125,100,60,100,100,Normal,,Parental Bond,,,45,100,2.2,5140,0,1000000,MF,1,0,53,3,6,3,70
116,Horsea,,Dragon,30,40,70,70,25,60,Water,,Swift Swim,Sniper,Damp,225,8,0.4,5140,50,1000000,MF,1,0,54,2,5,7,70
117,Seadra,,Dragon,55,65,95,95,45,85,Water,,Poison Point,Sniper,Damp,75,25,1.2,5140,50,1000000,MF,1,116,54,2,5,7,70
118,Goldeen,,Goldfish,45,67,60,35,50,63,Water,,Swift Swim,Water Veil,Lightning Rod,225,15,0.6,5140,50,1000000,MF,1,0,55,8,3,9,70
119,Seaking,,Goldfish,80,92,65,65,80,68,Water,,Swift Swim,Water Veil,Lightning Rod,60,39,1.3,5140,50,1000000,MF,1,118,55,8,3,9,70
120,Staryu,,Star Shape,30,45,55,70,55,85,Water,,Illuminate,Natural Cure,Analytic,225,34.5,0.8,5140,Genderless,1250000,S,1,0,56,3,5,7,70
121,Starmie,,Mysterious,60,75,85,100,85,115,Water,Psychic,Illuminate,Natural Cure,Analytic,60,80,1.1,5140,Genderless,1250000,S,1,120,56,7,5,7,70
122,Mr. Mime,,Barrier,40,45,65,100,120,90,Psychic,Fairy,Soundproof,Filter,Technician,45,54.5,1.3,6425,50,1000000,MF,1,439,57,6,12,8,70
123,Scyther,,Mantis,70,110,80,55,80,105,Bug,Flying,Swarm,Technician,Steadfast,45,56,1.5,6425,50,1000000,MF,1,0,58,5,13,3,70
124,Jynx,,Human Shape,65,50,35,115,95,95,Ice,Psychic,Oblivious,Forewarn,Dry Skin,45,40.6,1.4,6425,0,1000000,MF,1,238,59,8,12,8,70
125,Electabuzz,,Electric,65,83,57,95,85,105,Electric,,Static,,Vital Spirit,45,30,1.1,6425,75,1000000,MF,1,239,60,10,6,3,70
126,Magmar,,Spitfire,65,95,57,100,85,93,Fire,,Flame Body,,Vital Spirit,45,44.5,1.3,6425,75,1000000,MF,1,240,61,8,6,4,70
127,Pinsir,,Stag Beetle,65,125,100,55,70,85,Bug,,Hyper Cutter,Mold Breaker,Moxie,45,55,1.5,6425,50,1250000,S,1,0,62,3,12,2,70
127,Pinsir,Mega,Stag Beetle,65,155,120,65,90,105,Bug,Flying,Aerilate,,,45,59,1.7,6425,50,1250000,S,1,0,62,3,12,2,70
128,Tauros,,Wild Bull,75,100,95,40,70,110,Normal,,Intimidate,Anger Point,Sheer Force,45,88.4,1.4,5140,100,1250000,S,1,0,63,3,8,3,70
129,Magikarp,,Fish,20,10,55,15,20,80,Water,,Swift Swim,,Rattled,255,10,0.9,1285,50,1250000,S,1,0,64,8,3,9,70
130,Gyarados,,Atrocious,95,125,79,60,100,81,Water,Flying,Intimidate,,Moxie,45,235,6.5,1285,50,1250000,S,1,129,64,2,2,9,70
130,Gyarados,Mega,Atrocious,95,155,109,70,130,81,Water,Dark,Mold Breaker,,,45,305,6.5,1285,50,1250000,S,1,129,64,2,2,9,70
131,Lapras,,Transport,130,85,80,85,95,60,Water,Ice,Water Absorb,Shell Armor,Hydration,45,220,2.5,10280,50,1250000,S,1,0,65,2,3,7,70
132,Ditto,,Transform,48,48,48,48,48,48,Normal,,Limber,,Imposter,35,4,0.3,10280,Genderless,1000000,MF,1,0,66,7,1,8,70
133,Eevee,,Evolution,55,55,50,45,65,55,Normal,,Run Away,Adaptability,Anticipation,45,6.5,0.3,8995,87.5,1000000,MF,1,0,67,3,8,8,70
134,Vaporeon,,Bubble Jet,130,65,60,110,95,65,Water,,Water Absorb,,Hydration,45,29,1,8995,87.5,1000000,MF,1,133,67,2,8,8,70
135,Jolteon,,Lightning,65,65,60,110,95,130,Electric,,Volt Absorb,,Quick Feet,45,24.5,0.8,8995,87.5,1000000,MF,1,133,67,10,8,8,70
136,Flareon,,Flame,65,130,60,95,110,65,Fire,,Flash Fire,,Guts,45,25,0.9,8995,87.5,1000000,MF,1,133,67,8,8,8,70
137,Porygon,,Virtual,65,60,70,85,75,40,Normal,,Trace,Download,Analytic,45,36.5,0.8,5140,Genderless,1000000,MF,1,0,68,6,7,8,70
138,Omanyte,,Spiral,35,40,100,90,55,35,Rock,Water,Swift Swim,Shell Armor,Weak Armor,45,7.5,0.4,7710,87.5,1000000,MF,1,0,69,2,10,7,70
139,Omastar,,Spiral,70,60,125,115,70,55,Rock,Water,Swift Swim,Shell Armor,Weak Armor,45,35,1,7710,87.5,1000000,MF,1,138,69,2,10,7,70
140,Kabuto,,Shellfish,30,80,90,55,45,55,Rock,Water,Swift Swim,Battle Armor,Weak Armor,45,11.5,0.5,7710,87.5,1000000,MF,1,0,70,3,14,7,70
141,Kabutops,,Shellfish,60,115,105,65,70,80,Rock,Water,Swift Swim,Battle Armor,Weak Armor,45,40.5,1.3,7710,87.5,1000000,MF,1,140,70,3,6,7,70
142,Aerodactyl,,Fossil,80,105,65,60,75,130,Rock,Flying,Rock Head,Pressure,Unnerve,45,59,1.8,8995,87.5,1250000,S,1,0,71,7,9,4,70
142,Aerodactyl,Mega,Fossil,80,135,85,70,95,150,Rock,Flying,Tough Claws,,,45,79,2.1,8995,87.5,1250000,S,1,0,71,7,9,4,70
143,Snorlax,,Sleeping,160,110,65,65,110,30,Normal,,Immunity,Thick Fat,Gluttony,25,460,2.1,10280,87.5,1250000,S,1,446,72,1,12,4,70
144,Articuno,,Freeze,90,85,100,95,125,85,Ice,Flying,Pressure,,Snow Cloak,3,55.4,1.7,20560,Genderless,1250000,S,1,0,73,2,9,5,35
145,Zapdos,,Electric,90,90,85,125,90,100,Electric,Flying,Pressure,,Lightning Rod,3,52.6,1.6,20560,Genderless,1250000,S,1,0,74,10,9,5,35
146,Moltres,,Flame,90,100,90,125,85,90,Fire,Flying,Pressure,,Flame Body,3,60,2,20560,Genderless,1250000,S,1,0,75,10,9,5,35
147,Dratini,,Dragon,41,64,45,50,50,50,Dragon,,Shed Skin,,Marvel Scale,45,3.3,1.8,10280,50,1250000,S,1,0,76,2,2,9,35
148,Dragonair,,Dragon,61,84,65,70,70,70,Dragon,,Shed Skin,,Marvel Scale,45,16.5,4,10280,50,1250000,S,1,147,76,2,2,9,35
149,Dragonite,,Dragon,91,134,95,100,100,80,Dragon,Flying,Inner Focus,,Multiscale,45,210,2.2,10280,50,1250000,S,1,148,76,3,6,9,35
150,Mewtwo,,Genetic,106,110,90,154,90,130,Psychic,,Pressure,,Unnerve,3,122,2,30840,Genderless,1250000,S,1,0,77,7,6,5,0
